gene_symbol,melanoma_post_delta,nsclc_post_delta,pred_direct_melanoma_delta,pred_manual_features,pred_geneformer_static_pca32,pred_scgpt_static_pca32,pred_geneformer_random_pca32,pred_scgpt_random_pca32,pred_manual_plus_geneformer_pca32,pred_manual_plus_scgpt_pca32,mean_tpm,fraction_positive_g120,baseline_responder_vs_nonresponder_log2_delta,post_responder_vs_nonresponder_log2_delta,n_cells_g120,n_patient_states,n_baseline_responder_states,n_baseline_nonresponder_states,mean_raw_count_per_cell,fraction_positive_g115,post_vs_naive_sample_logcpm_delta,cell_type_specificity_max_fraction,dominant_cell_type,n_cells_g115,n_samples,n_post_samples,n_naive_samples,nsclc_post_responder_vs_nonresponder_log2cpm_delta,nsclc_post_mean_log2cpm,nsclc_post_lesion_fraction_positive,nsclc_n_responder_lesions,nsclc_n_nonresponder_lesions,response_direction_concordant,response_transfer_score
ACADVL,-0.180373035767698,-0.5617111423834462,-0.180373035767698,-0.1709941,-0.20629086,-0.22711888,-0.076442815,-0.08639227,-0.21824631,-0.23585287,2.963223252878335,0.3554723466944939,-0.3563298342890151,-0.180373035767698,16291,48,9,10,40.84929028666852,0.4174784302811021,0.2250664564434776,0.2018746889646622,CAF,7186,33,17,16,-0.5617111423834462,6.095136011585566,1.0,8,5,True,0.3183041689583155
NANS,-0.1678532816210378,-0.6034065600704253,-0.1678532816210378,-0.13711369,-0.19767192,-0.309926,-0.085933544,-0.0873684,-0.19092828,-0.30570784,1.5342145959896012,0.2354674360076115,-0.2603228317748371,-0.1678532816210378,16291,48,9,10,28.98677984970777,0.302671861953799,-0.1555774495139306,0.2641205580109041,Macrophage,7186,33,17,16,-0.6034065600704253,5.6281015187872905,1.0,8,5,True,0.31825111352434066
PACSIN2,-0.2149970292971316,-0.4709453931571179,-0.2149970292971316,-0.12898701,-0.1200502,-0.10560116,-0.08329823,-0.07544317,-0.11965871,-0.10571308,0.7984126208941293,0.1677613406175188,-0.1331494111779293,-0.2149970292971316,16291,48,9,10,16.51447258558308,0.3291121625382688,-0.4046529583200695,0.2661243934215188,Mal,7186,33,17,16,-0.4709453931571179,4.508975849010356,1.0,8,5,True,0.31820097499842775
SH3TC1,-0.1999503157440471,-0.5053253862227951,-0.1999503157440471,-0.10050472,-0.17190158,-0.09047277,-0.085574485,-0.08564264,-0.16141127,-0.08321173,0.999809711086736,0.1559756920999324,-0.2602486381153003,-0.1999503157440471,16291,48,9,10,12.195379905371556,0.1688004453103256,0.0152052939035813,0.2296375118873727,Macrophage,7186,33,17,16,-0.5053253862227951,4.792234996537613,1.0,8,5,True,0.3178678507316058
TXLNA,-0.2825829280376017,-0.3574546639720566,-0.2825829280376017,-0.16896744,-0.14398241,-0.10297132,-0.080769666,-0.0821867,-0.15451032,-0.12274377,1.939121601325973,0.345344054999693,-0.2542338858810125,-0.2825829280376017,16291,48,9,10,68.28736431951016,0.4557472863902032,0.095770286578765,0.1845700572468213,CAF,7186,33,17,16,-0.3574546639720566,4.370984994421606,1.0,8,5,True,0.3178216254220609
CD33,-0.3604662875596799,-0.2799673244552712,-0.3604662875596799,-0.052599363,-0.2001017,-0.31948763,-0.07947893,-0.08865577,-0.15693179,-0.29544777,0.3451592901785739,0.0497207046835676,-0.2640124004573851,-0.3604662875596799,16291,48,9,10,4.511689396047871,0.0552463122738658,-0.3621074081134452,0.8444479671781607,Macrophage,7186,33,17,16,-0.2799673244552712,0.43686876314768425,0.8461538461538461,8,5,True,0.31767716645111277
CCT3,-0.2055768641990727,-0.48840858669589604,-0.2055768641990727,-0.16735119,-0.21372682,-0.26021385,-0.078025766,-0.077224135,-0.21596314,-0.25346988,3.0131980847309148,0.3862869068811,-0.1902854920698227,-0.2055768641990727,16291,48,9,10,244.21472307264125,0.5617868076816032,0.0608112225609041,0.3123740244982451,Mal,7186,33,17,16,-0.48840858669589604,7.472522451962356,1.0,8,5,True,0.31686827815488766
TUBB,-0.4298797569220811,-0.2331957385194201,-0.4298797569220811,-0.13805112,-0.24253821,-0.24505755,-0.079942174,-0.07856461,-0.2198235,-0.23019171,3.586958443477853,0.4425142716837518,-0.3156490414269812,-0.4298797569220811,16291,48,9,10,692.8740606735319,0.6724185917060952,0.0595291789078658,0.289948400238654,Mal,7186,33,17,16,-0.2331957385194201,8.312153603717045,1.0,8,5,True,0.31661668842623175
INCENP,-0.1479841415729727,-0.6773805617814999,-0.1479841415729727,-0.057234436,-0.11305016,-0.076495714,-0.075436786,-0.0827072,-0.100655615,-0.058563743,0.1878485051748919,0.0319194647351298,-0.1320951356781623,-0.1479841415729727,16291,48,9,10,2.524770386863345,0.0797383801836905,0.0461038722238704,0.2418863561650633,Mal,7186,33,17,16,-0.6773805617814999,3.355285844976052,1.0,8,5,True,0.3166095086276678
SH3PXD2B,-0.1293763508294338,-0.7745474768577243,-0.1293763508294338,-0.0588772,-0.028571397,-0.11103864,-0.07699484,-0.08081571,-0.031397924,-0.108708546,0.0708716469472426,0.020563501319747,-0.0419317477132846,-0.1293763508294338,16291,48,9,10,4.542861118842193,0.1040912886167548,-0.1117652948421545,0.3042236757055992,CAF,7186,33,17,16,-0.7745474768577243,0.7717568062741431,1.0,8,5,True,0.31655667122965153
